nct_id,brief_title,official_title,status,phase,study_type,conditions,interventions,intervention_types,sponsor,start_date,completion_date,enrollment,summary
NCT04804605,Open Label Extension Trial of PDE4 Inhibition With Roflumilast for the Management of Atopic Dermatitis,"A Phase 3, Multicenter, Open-Label Extension Study of the Long-Term Safety of ARQ-151 Cream 0.15% and ARQ-151 Cream 0.05% in Subjects With Atopic Dermatitis",COMPLETED,PHASE3,INTERVENTIONAL,Atopic Dermatitis Eczema,ARQ-151 Cream 0.15% or ARQ-151 Cream 0.05%,DRUG,"Arcutis Biotherapeutics, Inc.",2021-02-25,2024-05-28,1220,"This study was a Phase 3, multicenter, open-label extension study of the long-term safety of roflumilast cream 0.15% (completers of studies ARQ-151-311 or ARQ-151-312 aged ≥6 years and ARQ-151-315 rollovers who turned 6 years of age on study) or roflumilast cream 0.05% (ARQ-151-315 rollovers aged 2 to 5 years). Participants with mild to moderate atopic dermatitis (AD) applied roflumilast cream once daily (qd) for up to 52 weeks."
NCT04845620,Trial of PDE4 Inhibition With Roflumilast for the Management of Atopic Dermatitis (Integument-PED),"A Phase 3, 4-Week, Parallel Group, Double Blind, Vehicle-Controlled Study of the Safety and Efficacy of ARQ-151 Cream 0.05% Administered QD in Subjects With Atopic Dermatitis",COMPLETED,PHASE3,INTERVENTIONAL,Atopic Dermatitis Eczema,Roflumilast Cream 0.05%; Vehicle Cream,DRUG; DRUG,"Arcutis Biotherapeutics, Inc.",2021-04-07,2023-06-01,652,"This was a Phase 3, 4-week, double-blind study to assess the safety and efficacy of ARQ-151 cream compared to vehicle cream applied once daily (qd) for 4 weeks in children 2 to 5 years of age with atopic dermatitis (AD)."
NCT05131477,"Study Testing Response Effect of KY1005 Against Moderate-to-Severe Atopic Dermatitis, The STREAM-AD Study","A Phase IIb, Randomized, Double-blind, Placebo-controlled, Parallel Group, Multicenter Dose Ranging Study of a Subcutaneous Anti-OX40L Monoclonal Antibody (KY1005) in Moderate-to-Severe Atopic Dermatitis",COMPLETED,PHASE2,INTERVENTIONAL,Eczema; Atopic Dermatitis,Amlitelimab; Placebo,DRUG; DRUG,Kymab Limited,2021-12-13,2023-04-26,390,"This is an interventional, randomized, parallel group, treatment, Phase IIb, double blind, 5-arm study to assess the effect of Anti-OX40L Monoclonal Antibody (KY1005) in adult participants with moderate to severe atopic dermatitis.

The estimated duration is 28 days for screening and then up to approximately day 477 (last dose no later than day 337+140 days safety follow-up) for all patients unless enrolled into the Long-Term Extension (LTE) protocol (NCT05492578) at either Day 169 depending on "
NCT05859724,Evaluation of NM26-2198 in Healthy Subjects and in Patients With Moderate-to-severe Atopic Dermatitis (AD),"A Randomized, Double-blind, Placebo-controlled, Single- and Multiple-ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Immunogenicity, Pharmacodynamics and Exploratory Clinical Activity of NM26-2198 in Healthy Volunteers and in Adult Patients With Atopic Dermatitis",TERMINATED,PHASE1,INTERVENTIONAL,Atopic Dermatitis,NM26-2198; Placebo,BIOLOGICAL; OTHER,Yellow Jersey Therapeutics AG,2023-05-10,2024-10-01,126,"This is a randomized, double-blind, placebo-controlled, single- and multiple ascending dose study of subcutaneous (SC) administration of NM26-2198 in healthy volunteers and adult patients with moderate to-severe AD to evaluate the safety, tolerability, pharmacokinetics (PK), and immunogenicity of single (SAD) and multiple doses (MAD) of NM26-2198."
NCT05469464,Study to Assess the Efficacy and Safety of Orismilast in Atopic Dermatitis (ADESOS),"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Phase 2b Dose-Ranging Study to Evaluate the Efficacy and Safety of Orismilast in Adults With Moderate to Severe Atopic Dermatitis",COMPLETED,PHASE2,INTERVENTIONAL,Atopic Dermatitis; Skin Diseases,Orismilast modified release tablets; Placebo,DRUG; DRUG,UNION therapeutics,2022-07-11,2024-01-23,235,This study investigates 3 different doses of orismilast modified release compared to placebo in adult patients with moderate-to-severe atopic dermatitis. The purpose of the study is to assess the effect of orismilast modified release in moderate-to-severe atopic dermatitis and assess the safety aspects of these 3 different doses. The patients will receive an oral treatment of either orismilast modified release tablets or placebo tablets 2 times a day for 16 weeks.
NCT04773587,Trial of PDE4 Inhibition With Roflumilast for the Management of Atopic Dermatitis,"A Phase 3, 4-Week, Parallel Group, Double Blind, Vehicle-Controlled Study of the Safety and Efficacy of ARQ-151 Cream 0.15% Administered QD in Subjects With Atopic Dermatitis",COMPLETED,PHASE3,INTERVENTIONAL,Atopic Dermatitis Eczema,Roflumilast Cream 0.15%; Vehicle Cream,DRUG; DRUG,"Arcutis Biotherapeutics, Inc.",2021-01-27,2022-08-30,654,"This is a parallel group, double blind, vehicle-controlled study to assess the safety and efficacy of roflumilast (ARQ-151) cream vs vehicle applied once daily (qd) for 4 weeks by participants with atopic dermatitis (eczema)."
NCT04773600,Trial of PDE4 Inhibition With Roflumilast for the Management of Atopic Dermatitis (INTEGUMENT-II),"A Phase 3, 4-Week, Parallel Group, Double Blind, Vehicle-Controlled Study of the Safety and Efficacy of ARQ-151 Cream 0.15% Administered QD in Subjects With Atopic Dermatitis",COMPLETED,PHASE3,INTERVENTIONAL,Atopic Dermatitis Eczema,Roflumilast Cream; Vehicle cream,DRUG; DRUG,"Arcutis Biotherapeutics, Inc.",2021-02-24,2022-09-29,683,"This study will assess the safety and efficacy of ARQ-151 cream vs vehicle applied once a day for 4 weeks by subjects with atopic dermatitis (eczema). This is a parallel group, double blind, vehicle-controlled study in which ARQ-151 0.15% cream or vehicle is applied once daily (qd) for 4 weeks by participants with atopic dermatitis."
NCT03703102,Study of an Anti-OX40 Monoclonal Antibody (KHK4083) in Subjects With Moderate to Severe Atopic Dermatitis,"A Phase 2, Multicenter, Randomized, Double-blind, Parallel-group, Placebo-controlled Study of an Anti-OX40 Monoclonal Antibody (KHK4083) in Subjects With Moderate to Severe Atopic Dermatitis (AD)",COMPLETED,PHASE2,INTERVENTIONAL,Atopic Dermatitis,KHK4083; Placebo,DRUG; DRUG,"Kyowa Kirin, Inc.",2018-10-22,2020-02-06,274,"A Phase 2, multicenter, randomized, placebo-controlled, double-blind, parallel-group study for subjects with moderate to severe AD whose disease cannot be adequately controlled with topical medications or for whom topical treatment is medically inadvisable."
NCT04352595,A Phase Ⅱ Study of Hemay808 for Atopic Dermatitis Patients,"Assess Hemay808 Concentration of Different Dosage Regimen for Mild and Moderate Atopic Dermatitis Patients the Safety and Efficacy of Multicenter, Randomized, Blinded, Excipient Parallel-group Phase Ⅱ Clinical Study",COMPLETED,PHASE2,INTERVENTIONAL,Atopic Dermatitis,Hemay808,DRUG,"Tianjin Hemay Pharmaceutical Co., Ltd",2020-04-24,2021-02-28,148,Assess Hemay808 concentration of 1%/3%/7% for treatment of mild and moderate adult atopic dermatitis patients.
NCT05769946,A Study of Hemay005 in Adult With Atopic Dermatitis,A Phase II Study to Evaluate the Efficacy and Safety of Hemay005 Tablet in Adult With Moderate to Severe Atopic Dermatitis,COMPLETED,PHASE2,INTERVENTIONAL,"Hemay005, Atopic Dermatitis",Hemay005,DRUG,"Ganzhou Hemay Pharmaceutical Co., Ltd",2022-11-24,2024-01-24,79,"A multicenter, randomized, double-blind, placebo-controlled, phase II study to evaluate the efficacy and safety of Hemay005 tablet in the treatment of moderate to severe atopic dermatitis."
