Type,Name,Mention Count,Source PMIDs
target,S1P,33,40827120; 40864813; 40693579; 39000023; 38388871; 38724797; 36695074; 37047680; 36674974; 35304160
target,S1P1,5,33197483; 32514255; 31494188; 26803226; 20802177
target,PDE4,4,40864813; 38724797; 36294465; 31494188
target,IL-31,3,40827120; 38724797; 36294465
target,OX40,3,40827120; 38724797; 36294465
target,IL-13,3,36294465; 32487782; 32457418
target,TSLP,2,40827120; 36294465
target,AhR,2,40864813; 36294465
target,IL-4,2,32487782; 32457418
target,TRPV1,2,31494188; 31213388
target,H4R,1,40864813
subtarget,IgE,3,40827120; 32487782; 32457418
subtarget,CCL17,2,40827120; 32457418
subtarget,CCL22,2,40827120; 32457418
subtarget,NF-κB,2,37047680; 24586752
subtarget,Th2,2,32457418; 31213388
subtarget,STAT6,1,40864813
subtarget,STAT3,1,37047680
